ECAL,eH0_11,eH1_11,eH2_11,mpST11,mpST12,strawSelection,index
5.0505939374133755,4.527650893559023,6.870921147689941,3.288013940653161,0.0,0.0,-30.0,5
8.967217117915874,5.699343297323498,7.339105461620932,3.7336422036720873,0.0,0.0,-30.0,18
7.223891450820091,3.8333146542911853,6.516619504715138,4.034742381387578,0.0,0.0,-30.0,25
8.065837512455929,7.88360938335357,5.7574016983405585,3.805906246323805,0.0,0.0,-30.0,58
8.611220936380393,9.836430056294363,5.023491152178465,3.348233976196259,0.0,0.0,-30.0,76
6.069616851375901,6.480471566499816,6.364775943440222,8.912565260378532,0.0,0.0,-30.0,87
10.082822970566337,4.759096306648302,4.390809646866316,6.29901571780807,0.0,0.0,-30.0,121
7.406235490744071,7.681094646900451,3.0748321158170455,2.023393194248099,0.0,0.0,-30.0,136
10.693457134559374,5.872927357140458,4.352848756547587,3.167573869566964,0.0,0.0,-30.0,182
8.42179936289718,7.015689084268773,5.656172657490615,5.106659014054726,1.0,0.0,-10.0,183
8.075579791698678,7.86914404503549,4.428770537185045,4.865778871882333,0.0,0.0,-30.0,190
5.616843897163255,5.9163233720946975,5.352485534940783,4.576722701275462,0.0,0.0,-30.0,199
4.6324178014356265,4.484254878604784,6.769692106839997,5.660683341051229,0.0,1.0,-30.0,205
2.7452218632802903,8.172916149715169,4.264273345803886,4.913954900316812,2.0,1.0,20.0,247
5.965917625875964,5.887392695458538,4.593267728566204,3.191661883784204,0.0,0.0,-30.0,248
8.186738161489679,4.788026983284462,3.8340499221916247,2.5051534785928844,0.0,0.0,-30.0,257
9.109424989534656,5.2509178094630204,4.656535879097419,5.732947383702947,0.0,0.0,-30.0,265
7.6404894577275675,9.142093817026526,4.555306838247475,2.481065464375645,0.0,0.0,-30.0,271
5.701886500923633,6.697451641271015,3.543016429748036,2.8664736918514735,0.0,0.0,-30.0,366
9.745643942657557,3.3270278131583875,5.124720193028409,1.5175448956860742,0.0,0.0,-30.0,396
6.435722119372983,5.540224575824619,4.390809646866316,3.6493341539117496,0.0,0.0,-30.0,404
3.963838454405695,6.017580740321257,5.858630739190502,2.878517698960093,0.0,0.0,-30.0,418
6.59712703167399,7.261599835676133,3.454441019004335,5.443891213096076,0.0,0.0,-30.0,419
9.861236624887951,4.773561644966382,6.883574777796184,2.2040533008773933,0.0,0.0,-30.0,448
6.437848923623284,5.901858033776618,8.51589306150153,4.697162772361658,0.0,0.0,-30.0,497
9.690648439511312,5.453432545916139,7.199915530452259,3.083265819806627,0.0,0.0,-30.0,525
4.101861902353097,5.540224575824619,6.364775943440222,4.227446495125492,0.0,0.0,-30.0,562
7.772648218100294,4.426393525332463,11.413574355831173,2.8905617060687128,0.0,0.0,-30.0,672
4.142036734597181,5.16412577955454,3.8340499221916247,5.769079405028806,0.0,0.0,-30.0,680
8.49318097136819,3.5295425496115067,3.403826498579363,1.8668211018360437,1.0,1.0,10.0,690
8.677531320494433,4.252809465515504,3.9985471135727835,4.781470822121996,0.0,0.0,-30.0,695
8.289831819249615,4.434175254139782,4.331810946148298,4.775111595811137,1.0,1.0,-10.0,736
5.602467648906205,6.8927278702964925,4.243406641124864,3.909096394555717,0.0,0.0,-30.0,749
6.472612780350232,4.317101320037081,4.849607589856987,4.522523828778306,0.0,0.0,-30.0,763
4.6531649281863885,4.404906770614106,5.417920979293353,4.3541319840897525,0.0,1.0,-30.0,769
6.390057809126713,5.268327034621523,3.839272675303448,6.19441428675752,0.0,1.0,-30.0,779
6.7357255466513495,8.7659108159397,4.3949568783078945,2.381541803452406,0.0,0.0,-30.0,787
6.586318198471341,4.697591605870858,5.721021453659414,5.580986852534931,0.0,0.0,-30.0,789
2.2285051555069755,6.292723958020153,4.331810946148298,3.0069972265813205,0.0,0.0,-30.0,803
3.2895118577419877,6.84882514500798,5.001157827040018,5.087839307375594,0.0,0.0,-30.0,810
6.6982069687605845,6.673214243853929,6.188301351640426,3.6565086275228857,1.0,0.0,10.0,824
6.923779796552542,4.521980704716807,6.175672165208507,6.110218364413243,1.0,2.0,10.0,834
9.289045512524616,6.043941848051913,6.28933484309578,1.1186029682882512,0.0,0.0,-30.0,881
7.596256651195812,8.122004178374848,6.78187311394063,3.2956689603331273,1.0,1.0,-10.0,884
7.638465645517548,6.570774551514066,5.316887487837999,5.869658586286738,0.0,1.0,-30.0,885
5.425764427302687,4.2731985947485684,5.493696097884868,2.7183254928295137,0.0,0.0,-30.0,895
10.619501173148976,2.473186857919548,2.184849252722028,2.98294124876867,1.0,0.0,10.0,896
2.8040489182921267,6.24882123273164,5.809425758682849,5.292315118783124,0.0,0.0,-30.0,915
7.325862007344145,5.048813408178959,5.46843772502103,3.1874170601762,0.0,0.0,-30.0,926
9.034553419477325,4.1853931441715435,2.993117184364859,5.677210763785533,0.0,0.0,-30.0,927
7.651418977997515,5.356132485198549,4.420215251171733,2.6822415261105377,0.0,0.0,-30.0,936
7.388941131389324,4.08295345183168,5.923088436570122,1.1787429128198776,0.0,0.0,-30.0,940
3.9884613487932983,6.102478815103264,6.971310910419419,4.209796117213848,0.0,0.0,-30.0,965
8.909036183700932,5.16588734228166,5.79679657225093,5.087839307375594,1.0,1.0,-10.0,971
5.926251998688916,6.292723958020153,5.215853996382645,2.862661359705417,0.0,0.0,-30.0,1004
10.544539029653048,4.287832836511406,5.8852008772743645,9.670503080685528,1.0,1.0,10.0,1026
7.8601276829655005,6.2341869909688015,4.571765488354764,2.730353481735839,0.0,0.0,-30.0,1050
4.009737053977053,23.209907435860377,5.518954470748707,3.115249126738248,1.0,1.0,10.0,1064
1.3477106782298134,5.400035210487061,5.45580853858911,3.115249126738248,0.0,0.0,-30.0,1087
6.757109717240569,6.0000391227634005,9.396114705347912,3.3076969492394523,0.0,0.0,-30.0,1097
8.23099706582695,4.843934023499234,4.521248742627087,2.2732899032954785,0.0,0.0,-30.0,1104
5.835440180633339,4.712225847633695,5.79679657225093,4.979587407218666,0.0,0.0,-30.0,1106
8.624103483261155,5.004910682890447,4.4454736240355714,3.4760887939280067,0.0,0.0,-30.0,1191
8.247653215076976,4.4634437376654565,5.001157827040018,2.730353481735839,0.0,0.0,-30.0,1219
7.038350061887798,7.463463299047158,10.59588741638024,3.4520328161153557,1.0,0.0,10.0,1360
4.787352835945031,7.9171247936951215,7.009198469715177,3.199445049082525,1.0,1.0,-10.0,1426
5.2440164813889725,4.931739474076259,2.121703320562432,2.309373870014454,1.0,1.0,10.0,1446
6.163703260676753,5.429303694012736,6.895535791827903,4.775111595811137,0.0,0.0,-30.0,1447
6.746586013250633,5.478839421356331,5.7053306630419325,5.5834619724121985,0.0,1.0,-30.0,1469
9.455057179414673,4.50514647379433,7.333621936343723,2.70749772369126,0.0,0.0,-30.0,1491
8.28114897296249,5.0719229656587785,4.632425560478737,2.226164795035036,0.0,0.0,-30.0,1499
5.7922647874243545,4.868464737810002,5.213056557159996,4.452329590070072,1.0,0.0,-10.0,1501
8.536380274630742,5.20271754070442,4.758649690192055,3.3813638238099735,0.0,0.0,-30.0,1504
4.384499934405682,6.626925135645854,4.973230710704693,4.849429256211457,1.0,1.0,-10.0,1505
5.704781303635787,6.699588788448988,3.218715307689586,3.429497116675596,1.0,0.0,10.0,1513
6.4442720966472935,5.391643037992569,6.853970243433118,6.305461365396535,0.0,0.0,-30.0,1527
4.51488906131661,5.260848462946928,4.531446256708083,5.595495295628604,0.0,0.0,-30.0,1531
5.119499696149096,6.626925135645854,9.201739056100816,6.365627981478562,2.0,0.0,20.0,1533
9.4540644191756,5.275381193507554,6.285961659723191,4.885529225860674,0.0,0.0,-30.0,1542
6.388748862891155,2.964677034367882,8.49488392970624,1.8771984217592736,0.0,0.0,-30.0,1560
9.031907109375243,5.318979385189435,5.137322079332005,2.8278309558553163,0.0,0.0,-30.0,1566
8.670646319979705,5.536970343598838,4.089661802711474,4.969762488375513,0.0,0.0,-30.0,1577
8.276349238727517,5.130053887901286,3.7488566524855176,2.3344647039826865,0.0,0.0,-30.0,1593
7.239456204719756,4.868464737810002,4.783894516134717,5.390928800949709,1.0,1.0,10.0,1609
6.434879277694095,6.263606871630182,4.291620410252781,2.623264461176421,0.0,0.0,-30.0,1614
6.612277151619613,6.801317902373376,6.285961659723191,5.463128740248143,2.0,1.0,20.0,1637
8.505680672104479,4.9411283906131365,3.168225655804259,3.164764005914673,1.0,0.0,-10.0,1670
